dataset,E,A,p,silhouette_score,davies_bouldin_score,calinski_harabasz_score,n_clusters_found,error,combination
Iris,E_FD_R,A4,,0.5209821467207314,0.8544725065599416,398.4264016774444,3,,E_FD_R_A4
Iris,E_LK,A4,,0.4789727786411858,4.899230146124547,278.35572144326477,3,,E_LK_A4
Iris,E_LK_R,A4,,0.4526848559640605,4.68403760707166,244.769984020055,3,,E_LK_R_A4
Iris,E_6,A4,,0.43873813224004077,4.509612488431849,232.89099355086597,3,,E_6_A4
Iris,E_FD,A4,,0.3962437624006776,1.0947532532715523,216.8090947970043,3,,E_FD_A4
Iris,E_GD_R,A2,0.1,0.3948909861194566,1.354484464875685,55.06025207042303,3,,E_GD_R_A2_p0.1
Iris,E_LK,A2,1.0,0.38430682841444574,0.6748437861272635,145.51068609384086,3,,E_LK_A2_p1.0
Iris,E_LK,A2,4.0,0.37772122020995624,0.6615179572349765,158.45055486392272,3,,E_LK_A2_p4.0
Iris,E_LK,A2,0.1,0.37354642716136166,0.6533707555192166,142.3099048106728,3,,E_LK_A2_p0.1
Iris,E_4,A2,0.1,0.34067477260662343,1.2701415859750276,49.69403180020055,3,,E_4_A2_p0.1
